LAU1,vaccination_count,infected_count,0-14,15-59,60+,název,infected_percentage,vaccinated_percentage,kids_percentage
CZ0100,76421,150427,212824,802869,319391,Praha,0.11267231125532176,0.05724059310125805,0.1594086963816509
CZ0201,6493,12392,16757,56147,26838,Benešov,0.12424054059473441,0.06509795271801247,0.16800344889815724
CZ0202,5815,12161,17267,56189,22947,Beroun,0.1261475265292574,0.06031969959441096,0.17911268321525264
CZ0203,10111,20902,28172,97381,41292,Kladno,0.1252779525907279,0.06060115676226438,0.16885132907788666
CZ0204,6730,15447,18311,61291,26654,Kolín,0.14537531998193043,0.06333759975907242,0.17232909200421623
CZ0205,4520,9176,11883,43328,21099,Kutná Hora,0.12024636351723234,0.059232079675009826,0.15572008911020835
CZ0206,6131,14567,18851,64691,26445,Mělník,0.13244292507296318,0.0557429514397156,0.171392982807059
CZ0207,7650,17712,21681,77735,31626,Mladá Boleslav,0.1351627722409609,0.05837822988049633,0.16545077150837137
CZ0208,5761,13318,17413,57592,24210,Nymburk,0.13423373481832385,0.05806581666078718,0.17550773572544473
CZ0209,10759,25156,40033,111846,37060,Praha-východ,0.13314350134170289,0.05694430477561541,0.21188320039801206
CZ020A,10509,18478,31887,89380,31018,Praha-západ,0.12133828019831237,0.06900876645762878,0.2093902879469416
CZ020B,7482,12517,18173,65739,31324,Příbram,0.10862056996077615,0.06492762678329689,0.15770245409420666
CZ020C,3608,6019,8853,31632,15252,Rakovník,0.10798930692358756,0.0647325833826722,0.15883524409279293
CZ0311,11607,25262,32988,113304,50310,České Budějovice,0.12849309773044018,0.05903805658131657,0.16779076509903257
CZ0312,3915,7396,10060,35720,15540,Český Krumlov,0.12061317677756034,0.0638454011741683,0.16405740378343117
CZ0313,6845,11641,13625,50621,26033,Jindřichův Hradec,0.12894471582538575,0.07582051196845335,0.15092103368446705
CZ0314,4856,9553,10932,40166,20490,Písek,0.13344415265128234,0.06783259764206291,0.15270715762418283
CZ0315,3442,6228,7916,29256,13607,Prachatice,0.12264912660745583,0.06778392642627858,0.1558912148722897
CZ0316,4357,8976,11062,39834,19636,Strakonice,0.1272613849033063,0.06177337945896898,0.1568366131684909
CZ0317,5978,11597,15907,57558,28986,Tábor,0.11319557642189924,0.05834984529189564,0.15526446789196788
CZ0321,2948,6495,8772,31847,14649,Domažlice,0.11751827458927408,0.053340088297025405,0.15871752189331984
CZ0322,4349,11390,12745,48705,24803,Klatovy,0.13205337785352395,0.05042143461676695,0.14776297636024255
CZ0323,10715,26031,30268,112584,51988,Plzeň-město,0.13360192978854446,0.054993841100390066,0.1553479778279614
CZ0324,4587,9538,11078,40467,18586,Plzeň-jih,0.1360026236614336,0.06540616845617488,0.15796152913832684
CZ0325,4822,10823,13154,47348,20169,Plzeň-sever,0.13416221442649776,0.05977364852301323,0.16305735642300206
CZ0326,3738,7256,7742,28459,13288,Rokycany,0.1466184404615167,0.07553193638990482,0.1564388045828366
CZ0327,2735,7074,8541,32516,13332,Tachov,0.130063064222545,0.050285903399584476,0.1570354299582636
CZ0411,4083,10698,14089,52824,24521,Cheb,0.11700242798083864,0.0446551610998097,0.15408928844849837
CZ0412,5254,12186,16668,65425,32281,Karlovy Vary,0.10654519383776033,0.04593701365695001,0.14573242170423348
CZ0413,3667,10750,13761,51198,22544,Sokolov,0.12285293075665978,0.04190713461252757,0.15726317954812977
CZ0421,7396,15633,20711,73079,34659,Děčín,0.12170589105403701,0.05757927270745588,0.1612390910010977
CZ0422,6234,11669,19703,74287,30610,Chomutov,0.09365168539325842,0.050032102728731945,0.15813001605136437
CZ0423,5917,13144,19440,68340,31397,Litoměřice,0.11028973711370482,0.049648841638906836,0.16311872257230842
CZ0424,5234,9701,13977,50003,22384,Louny,0.1123268954657033,0.06060395535176694,0.16183826594414338
CZ0425,6331,12416,17524,65076,28333,Most,0.11192341323140995,0.057070483985829285,0.15796922466714142
CZ0426,6783,13865,20317,75768,32745,Teplice,0.10762244818753396,0.05265078009780331,0.15770395094310333
CZ0427,7914,13595,19484,68764,30403,Ústí nad Labem,0.11457973384126556,0.06669981711068595,0.16421269100134006
CZ0511,5323,13034,16740,60027,26231,Česká Lípa,0.12654614652711704,0.051680615157575875,0.16252742771704304
CZ0512,5086,12377,14417,49953,23877,Jablonec nad Nisou,0.14025405962808934,0.05763368726415629,0.1633709927816243
CZ0513,8824,22364,28624,98265,43007,Liberec,0.13163346988746055,0.05193765597777464,0.16847954042473043
CZ0514,4659,8708,12907,45893,22535,Semily,0.1070633798487736,0.05728161308169914,0.15868937111944428
CZ0521,8869,22906,26050,91999,46386,Hradec Králové,0.13930124365250707,0.053936205795603126,0.15842126068051204
CZ0522,4874,10013,12496,45364,22274,Jičín,0.12495320338433125,0.06082312127186962,0.15593880250580278
CZ0523,7606,13855,16921,61458,31108,Náchod,0.12654470393745376,0.06946943472741056,0.15454802853306784
CZ0524,4790,10413,12672,45290,21371,Rychnov nad Kněžnou,0.13125685402039505,0.06037840495128131,0.15973176357883856
CZ0525,6707,16070,17984,66434,32996,Trutnov,0.13686613180710988,0.05712265998943908,0.15316742466826783
CZ0531,5848,13795,16512,59706,28490,Chrudim,0.13174733544714826,0.055850555831455095,0.15769568705352027
CZ0532,9067,25709,28419,102037,45681,Pardubice,0.1459602468533017,0.05147697530899243,0.16134599771768565
CZ0533,6072,12505,16422,59682,27896,Svitavy,0.12024038461538461,0.05838461538461538,0.15790384615384614
CZ0534,6754,19230,22266,79124,36621,Ústí nad Orlicí,0.1393367195368485,0.0489381281202223,0.16133496605343053
CZ0631,5877,10177,14863,53112,26211,Havlíčkův Brod,0.10805215212451957,0.062397808591510416,0.15780476928630582
CZ0632,7640,12747,18626,65649,29815,Jihlava,0.11172758348672102,0.06696467700937857,0.1632570777456394
CZ0633,4656,7750,10664,41122,20512,Pelhřimov,0.10719521978477967,0.06440012171844312,0.1475006224238568
CZ0634,7312,10482,16550,63376,30411,Třebíč,0.09499986405285625,0.06626970100691518,0.1499950152713958
CZ0635,7053,12701,18948,67937,31056,Žďár nad Sázavou,0.10768943793930864,0.059801086984170054,0.16065659948618377
CZ0641,6965,12908,18098,61808,29198,Blansko,0.1183091362369849,0.06383817275260302,0.1658784279219827
CZ0642,22221,41677,59790,221211,101404,Brno-město,0.10898654567801153,0.05810854983590696,0.1563525581516978
CZ0643,13360,26771,41455,131031,53956,Brno-venkov,0.11822453431783857,0.05899965554093322,0.18307116171028343
CZ0644,6765,12237,17930,67621,30931,Břeclav,0.10505485826136227,0.058077642897615085,0.15392936247660582
CZ0645,10193,15551,22176,88668,42763,Hodonín,0.10123887583248159,0.06635765297154426,0.14436842070999367
CZ0646,5196,11854,15751,53503,23481,Vyškov,0.12782660268507037,0.056030624898905486,0.16984957135924947
CZ0647,7159,13361,18220,66062,30270,Znojmo,0.11663698582303234,0.06249563517005378,0.15905440324044975
CZ0711,1882,3044,5327,21309,11073,Jeseník,0.08072343472380598,0.04990850990479726,0.14126601076666048
CZ0712,12714,30725,38916,134757,61768,Olomouc,0.13049978550889607,0.05400079000683823,0.16528981783121885
CZ0713,6590,13264,17131,61899,29474,Prostějov,0.12224434122244342,0.06073508810735088,0.15788358032883582
CZ0714,8033,15770,19281,73860,35760,Přerov,0.12234195235102908,0.06231914414938596,0.14957991016361394
CZ0715,6414,14487,18604,67717,33646,Šumperk,0.12075820850733952,0.05346470279326815,0.15507597922762092
CZ0721,6303,10924,15985,59553,29288,Kroměříž,0.1042107874000725,0.06012821246637284,0.1524907942685975
CZ0722,8813,13952,21263,81322,39045,Uherské Hradiště,0.09851020264068347,0.06222551719268517,0.1501306220433524
CZ0723,8114,15483,22063,81639,38194,Vsetín,0.10911512657157355,0.05718272537633196,0.15548711732536505
CZ0724,13042,22688,29332,109553,52882,Zlín,0.1183102410738031,0.06800961583588418,0.15295645236145947
CZ0801,5963,9611,13292,51988,25691,Bruntál,0.10564905299491047,0.0655483615657737,0.1461124973892779
CZ0802,11087,25236,34311,124615,55661,Frýdek-Místek,0.11760265067315355,0.051666689967239394,0.15989319017461448
CZ0803,14618,27897,35473,140743,66563,Karviná,0.11490697300837387,0.060211138525160746,0.14611230790142476
CZ0804,9375,16850,24508,87675,39215,Nový Jičín,0.1112960541090371,0.06192287876986486,0.1618779640417971
CZ0805,11042,23122,27912,101173,46692,Opava,0.13154166927413713,0.06281822991631442,0.15879210590691614
CZ0806,17486,37661,48273,185145,83904,Ostrava-město,0.11868386055804514,0.055104909208942336,0.15212623139902054
