LAU1,0-14,15-59,60+
CZ0100,212824,802869,319391
CZ0201,16757,56147,26838
CZ0202,17267,56189,22947
CZ0203,28172,97381,41292
CZ0204,18311,61291,26654
CZ0205,11883,43328,21099
CZ0206,18851,64691,26445
CZ0207,21681,77735,31626
CZ0208,17413,57592,24210
CZ0209,40033,111846,37060
CZ020A,31887,89380,31018
CZ020B,18173,65739,31324
CZ020C,8853,31632,15252
CZ0311,32988,113304,50310
CZ0312,10060,35720,15540
CZ0313,13625,50621,26033
CZ0314,10932,40166,20490
CZ0315,7916,29256,13607
CZ0316,11062,39834,19636
CZ0317,15907,57558,28986
CZ0321,8772,31847,14649
CZ0322,12745,48705,24803
CZ0323,30268,112584,51988
CZ0324,11078,40467,18586
CZ0325,13154,47348,20169
CZ0326,7742,28459,13288
CZ0327,8541,32516,13332
CZ0411,14089,52824,24521
CZ0412,16668,65425,32281
CZ0413,13761,51198,22544
CZ0421,20711,73079,34659
CZ0422,19703,74287,30610
CZ0423,19440,68340,31397
CZ0424,13977,50003,22384
CZ0425,17524,65076,28333
CZ0426,20317,75768,32745
CZ0427,19484,68764,30403
CZ0511,16740,60027,26231
CZ0512,14417,49953,23877
CZ0513,28624,98265,43007
CZ0514,12907,45893,22535
CZ0521,26050,91999,46386
CZ0522,12496,45364,22274
CZ0523,16921,61458,31108
CZ0524,12672,45290,21371
CZ0525,17984,66434,32996
CZ0531,16512,59706,28490
CZ0532,28419,102037,45681
CZ0533,16422,59682,27896
CZ0534,22266,79124,36621
CZ0631,14863,53112,26211
CZ0632,18626,65649,29815
CZ0633,10664,41122,20512
CZ0634,16550,63376,30411
CZ0635,18948,67937,31056
CZ0641,18098,61808,29198
CZ0642,59790,221211,101404
CZ0643,41455,131031,53956
CZ0644,17930,67621,30931
CZ0645,22176,88668,42763
CZ0646,15751,53503,23481
CZ0647,18220,66062,30270
CZ0711,5327,21309,11073
CZ0712,38916,134757,61768
CZ0713,17131,61899,29474
CZ0714,19281,73860,35760
CZ0715,18604,67717,33646
CZ0721,15985,59553,29288
CZ0722,21263,81322,39045
CZ0723,22063,81639,38194
CZ0724,29332,109553,52882
CZ0801,13292,51988,25691
CZ0802,34311,124615,55661
CZ0803,35473,140743,66563
CZ0804,24508,87675,39215
CZ0805,27912,101173,46692
CZ0806,48273,185145,83904
