count,vek,pohlavi
11077,61,M
5150,80,Z
7445,4,M
2160,84,M
8600,68,Z
1743,0,M
9,116,Z
9574,65,M
7147,73,M
3,111,Z
3,120,M
21213,42,Z
13296,58,M
18034,40,Z
7898,72,Z
4,109,M
22007,43,Z
14695,28,M
2462,90,Z
4604,81,Z
3,111,M
11458,25,M
15221,36,M
4,106,Z
22618,44,Z
23204,45,Z
10282,16,Z
14517,34,Z
4,114,Z
9351,6,M
5,105,Z
10806,24,Z
16037,37,Z
14560,57,M
13893,28,Z
348,94,M
10,117,M
3180,87,Z
7933,5,Z
1587,87,M
15643,57,Z
15047,30,M
7582,71,M
14851,29,M
9,115,M
16249,50,M
9,118,Z
4803,2,Z
2672,82,M
93,100,Z
10746,63,M
4240,1,Z
9924,18,M
3815,83,Z
9,116,M
11486,10,Z
14233,31,Z
8684,67,M
3453,85,Z
14052,54,M
8505,70,Z
19874,43,M
14391,52,M
5280,79,Z
460,93,M
1213,89,M
2,105,M
86,97,M
14717,34,M
10938,62,M
779,95,Z
20886,46,M
7903,74,Z
14521,56,M
20959,48,Z
10576,8,M
4251,79,M
6,114,M
14697,33,Z
10429,21,M
13672,27,M
9998,8,Z
1,120,Z
51,101,Z
4,102,M
17407,49,M
13201,27,Z
15498,55,Z
12308,60,Z
1953,85,M
860,91,M
3068,88,Z
10889,24,M
13995,53,M
8030,73,Z
23414,46,Z
13629,11,M
9870,20,Z
3555,84,Z
9052,66,M
7,106,M
7,117,Z
12171,10,M
14046,55,M
79,100,M
9223,65,Z
42,99,M
12073,14,Z
1062,90,M
6,104,M
6342,76,Z
5902,75,M
13162,59,Z
6,103,M
14144,29,Z
3714,80,M
618,92,M
9954,7,M
17,103,Z
2104,91,Z
7825,70,M
9502,64,Z
16396,38,Z
11890,60,M
177,99,Z
19,102,Z
8473,68,M
597,96,Z
10770,23,M
2328,83,M
16073,56,Z
14326,58,Z
14222,32,Z
4147,82,Z
12131,59,M
6473,77,Z
11417,9,M
15416,51,M
9792,62,Z
20137,44,M
12494,13,M
14282,30,Z
12109,26,Z
12,119,M
14732,33,M
11074,25,Z
7285,75,Z
152,96,M
10048,17,M
8786,67,Z
10,118,M
10363,22,M
5131,77,M
10012,20,M
9513,7,Z
5,113,Z
6264,3,M
6,115,Z
17057,51,Z
4,110,Z
10035,19,Z
22764,47,Z
18069,50,Z
19258,49,Z
10702,23,Z
5,107,M
10630,16,M
14818,31,M
8,119,Z
10299,17,Z
6,108,Z
20564,47,M
10125,21,Z
8670,69,Z
11,101,M
1607,92,Z
10701,61,Z
17343,39,Z
10330,22,Z
15130,35,Z
7,107,Z
1405,93,Z
18899,48,M
15342,38,M
6009,3,Z
10145,18,Z
7043,74,M
286,98,Z
19114,42,M
4402,1,M
7094,72,M
8261,5,M
10,108,M
7873,71,Z
406,97,Z
64,98,M
12997,12,M
15369,54,Z
1061,94,Z
10,113,M
12618,12,Z
6,110,M
5835,78,Z
10900,15,M
1522,0,Z
10776,15,Z
14754,35,M
15304,53,Z
228,95,M
12213,13,Z
16358,40,M
20563,45,M
17654,41,M
10161,64,M
12987,11,Z
4562,78,M
12285,26,M
1452,88,M
9933,19,M
6969,4,Z
6,112,Z
19354,41,Z
5210,76,M
3134,81,M
5227,2,M
10905,9,Z
2802,89,Z
14651,32,M
3460,86,Z
12056,14,M
1,109,Z
14,112,M
1729,86,M
13,104,Z
9554,63,Z
8329,69,M
16376,52,Z
15201,37,M
8948,66,Z
15685,39,M
15664,36,Z
8650,6,Z
