LAU1,count
CZ0100,76421
CZ0201,6493
CZ0202,5815
CZ0203,10111
CZ0204,6730
CZ0205,4520
CZ0206,6131
CZ0207,7650
CZ0208,5761
CZ0209,10759
CZ020A,10509
CZ020B,7482
CZ020C,3608
CZ0311,11607
CZ0312,3915
CZ0313,6845
CZ0314,4856
CZ0315,3442
CZ0316,4357
CZ0317,5978
CZ0321,2948
CZ0322,4349
CZ0323,10715
CZ0324,4587
CZ0325,4822
CZ0326,3738
CZ0327,2735
CZ0411,4083
CZ0412,5254
CZ0413,3667
CZ0421,7396
CZ0422,6234
CZ0423,5917
CZ0424,5234
CZ0425,6331
CZ0426,6783
CZ0427,7914
CZ0511,5323
CZ0512,5086
CZ0513,8824
CZ0514,4659
CZ0521,8869
CZ0522,4874
CZ0523,7606
CZ0524,4790
CZ0525,6707
CZ0531,5848
CZ0532,9067
CZ0533,6072
CZ0534,6754
CZ0631,5877
CZ0632,7640
CZ0633,4656
CZ0634,7312
CZ0635,7053
CZ0641,6965
CZ0642,22221
CZ0643,13360
CZ0644,6765
CZ0645,10193
CZ0646,5196
CZ0647,7159
CZ0711,1882
CZ0712,12714
CZ0713,6590
CZ0714,8033
CZ0715,6414
CZ0721,6303
CZ0722,8813
CZ0723,8114
CZ0724,13042
CZ0801,5963
CZ0802,11087
CZ0803,14618
CZ0804,9375
CZ0805,11042
CZ0806,17486
