ORP,nazev,LAU1
4101,Aš,CZ0411
2101,Benešov,CZ0201
2001,Benešov,CZ0201
2102,Beroun,CZ0202
2002,Beroun,CZ0202
4201,Bílina,CZ0426
8101,Bílovec,CZ0804
8001,Bílovec,CZ0804
6201,Blansko,CZ0641
6401,Blansko,CZ0641
3101,Blatná,CZ0316
3201,Blovice,CZ0324
8102,Bohumín,CZ0803
8002,Bohumín,CZ0803
6202,Boskovice,CZ0641
6402,Boskovice,CZ0641
2103,Brandýs nad Labem-Stará Boleslav,CZ0209
2003,Brandýs nad Labem-Stará Boleslav,CZ0209
6204,Břeclav,CZ0644
6404,Břeclav,CZ0644
6203,Brno,CZ0642
6403,Brno,CZ0642
5201,Broumov,CZ0523
8103,Bruntál,CZ0801
8003,Bruntál,CZ0801
6205,Bučovice,CZ0646
6405,Bučovice,CZ0646
6101,Bystřice nad Pernštejnem,CZ0635
6301,Bystřice nad Pernštejnem,CZ0635
7201,Bystřice pod Hostýnem,CZ0721
2104,Čáslav,CZ0205
2004,Čáslav,CZ0205
2105,Černošice,CZ020A
2005,Černošice,CZ020A
5101,Česká Lípa,CZ0511
5301,Česká Třebová,CZ0534
3102,České Budějovice,CZ0311
2106,Český Brod,CZ0204
2006,Český Brod,CZ0204
3103,Český Krumlov,CZ0312
8104,Český Těšín,CZ0803
8004,Český Těšín,CZ0803
4102,Cheb,CZ0411
4203,Chomutov,CZ0422
6104,Chotěboř,CZ0631
6304,Chotěboř,CZ0631
5304,Chrudim,CZ0531
3104,Dačice,CZ0313
4202,Děčín,CZ0421
2107,Dobříš,CZ020B
2007,Dobříš,CZ020B
5202,Dobruška,CZ0524
3202,Domažlice,CZ0321
5203,Dvůr Králové nad Labem,CZ0525
8105,Frenštát pod Radhoštěm,CZ0804
8005,Frenštát pod Radhoštěm,CZ0804
8106,Frýdek-Místek,CZ0802
8006,Frýdek-Místek,CZ0802
5102,Frýdlant,CZ0513
8107,Frýdlant nad Ostravicí,CZ0802
8007,Frýdlant nad Ostravicí,CZ0802
8108,Havířov,CZ0803
8008,Havířov,CZ0803
6102,Havlíčkův Brod,CZ0631
6302,Havlíčkův Brod,CZ0631
5302,Hlinsko,CZ0531
8109,Hlučín,CZ0805
8009,Hlučín,CZ0805
6206,Hodonín,CZ0645
6406,Hodonín,CZ0645
7202,Holešov,CZ0721
5303,Holice,CZ0532
3203,Horažďovice,CZ0322
5204,Hořice,CZ0522
2108,Hořovice,CZ0202
2008,Hořovice,CZ0202
3204,Horšovský Týn,CZ0321
5205,Hradec Králové,CZ0521
7101,Hranice,CZ0714
6103,Humpolec,CZ0633
6303,Humpolec,CZ0633
6207,Hustopeče,CZ0644
6407,Hustopeče,CZ0644
6208,Ivančice,CZ0643
6408,Ivančice,CZ0643
5103,Jablonec nad Nisou,CZ0512
8110,Jablunkov,CZ0802
8010,Jablunkov,CZ0802
5206,Jaroměř,CZ0523
7102,Jeseník,CZ0711
5207,Jičín,CZ0522
6105,Jihlava,CZ0632
6305,Jihlava,CZ0632
5104,Jilemnice,CZ0514
3105,Jindřichův Hradec,CZ0313
4204,Kadaň,CZ0422
3106,Kaplice,CZ0312
4103,Karlovy Vary,CZ0412
8111,Karviná,CZ0803
8011,Karviná,CZ0803
2109,Kladno,CZ0203
2009,Kladno,CZ0203
3205,Klatovy,CZ0322
2110,Kolín,CZ0204
2010,Kolín,CZ0204
7103,Konice,CZ0713
8112,Kopřivnice,CZ0804
8012,Kopřivnice,CZ0804
5208,Kostelec nad Orlicí,CZ0524
5305,Králíky,CZ0534
3206,Kralovice,CZ0325
2111,Kralupy nad Vltavou,CZ0206
2011,Kralupy nad Vltavou,CZ0206
4104,Kraslice,CZ0413
8113,Kravaře,CZ0805
8013,Kravaře,CZ0805
8114,Krnov,CZ0801
8014,Krnov,CZ0801
7203,Kroměříž,CZ0721
6209,Kuřim,CZ0643
6409,Kuřim,CZ0643
2112,Kutná Hora,CZ0205
2012,Kutná Hora,CZ0205
6210,Kyjov,CZ0645
6410,Kyjov,CZ0645
5306,Lanškroun,CZ0534
5105,Liberec,CZ0513
7104,Lipník nad Bečvou,CZ0714
4205,Litoměřice,CZ0423
5307,Litomyšl,CZ0533
7105,Litovel,CZ0712
4206,Litvínov,CZ0425
4207,Louny,CZ0424
4208,Lovosice,CZ0423
7204,Luhačovice,CZ0724
2113,Lysá nad Labem,CZ0208
2013,Lysá nad Labem,CZ0208
4105,Mariánské Lázně,CZ0411
2114,Mělník,CZ0206
2014,Mělník,CZ0206
6211,Mikulov,CZ0644
6411,Mikulov,CZ0644
3107,Milevsko,CZ0314
2115,Mladá Boleslav,CZ0207
2015,Mladá Boleslav,CZ0207
2116,Mnichovo Hradiště,CZ0207
2016,Mnichovo Hradiště,CZ0207
7106,Mohelnice,CZ0715
5308,Moravská Třebová,CZ0533
6106,Moravské Budějovice,CZ0634
6306,Moravské Budějovice,CZ0634
6212,Moravský Krumlov,CZ0647
6412,Moravský Krumlov,CZ0647
4209,Most,CZ0425
5209,Náchod,CZ0523
6107,Náměšť nad Oslavou,CZ0634
6307,Náměšť nad Oslavou,CZ0634
3207,Nepomuk,CZ0324
2117,Neratovice,CZ0206
2017,Neratovice,CZ0206
5210,Nová Paka,CZ0522
6108,Nové Město na Moravě,CZ0635
6308,Nové Město na Moravě,CZ0635
5211,Nové Město nad Metují,CZ0523
5106,Nový Bor,CZ0511
5212,Nový Bydžov,CZ0521
8115,Nový Jičín,CZ0804
8015,Nový Jičín,CZ0804
2118,Nymburk,CZ0208
2018,Nymburk,CZ0208
3208,Nýřany,CZ0325
8116,Odry,CZ0804
7107,Olomouc,CZ0712
8117,Opava,CZ0805
8017,Opava,CZ0805
8118,Orlová,CZ0803
8018,Orlová,CZ0803
8119,Ostrava,CZ0806
8019,Ostrava,CZ0806
4106,Ostrov,CZ0412
7205,Otrokovice,CZ0724
6109,Pacov,CZ0633
6309,Pacov,CZ0633
5309,Pardubice,CZ0532
6110,Pelhřimov,CZ0633
6310,Pelhřimov,CZ0633
3108,Písek,CZ0314
3209,Plzeň,CZ0323
4210,Podbořany,CZ0424
2119,Poděbrady,CZ0208
2019,Poděbrady,CZ0208
6213,Pohořelice,CZ0643
5310,Polička,CZ0533
3109,Prachatice,CZ0315
1000,Praha,CZ0100
1101,Praha 1,CZ0100
1110,Praha 10,CZ0100
1111,Praha 11,CZ0100
1112,Praha 12,CZ0100
1113,Praha 13,CZ0100
1114,Praha 14,CZ0100
1115,Praha 15,CZ0100
1116,Praha 16,CZ0100
1117,Praha 17,CZ0100
1118,Praha 18,CZ0100
1119,Praha 19,CZ0100
1102,Praha 2,CZ0100
1120,Praha 20,CZ0100
1121,Praha 21,CZ0100
1122,Praha 22,CZ0100
1103,Praha 3,CZ0100
1104,Praha 4,CZ0100
1105,Praha 5,CZ0100
1106,Praha 6,CZ0100
1107,Praha 7,CZ0100
1108,Praha 8,CZ0100
1109,Praha 9,CZ0100
5311,Přelouč,CZ0532
7109,Přerov,CZ0714
3210,Přeštice,CZ0324
2120,Příbram,CZ020B
2020,Příbram,CZ020B
7108,Prostějov,CZ0713
2121,Rakovník,CZ020C
2021,Rakovník,CZ020C
2122,Říčany,CZ0209
2022,Říčany,CZ0209
3211,Rokycany,CZ0326
6214,Rosice,CZ0643
6414,Rosice,CZ0643
4211,Roudnice nad Labem,CZ0423
7206,Rožnov pod Radhoštěm,CZ0723
4212,Rumburk,CZ0421
5213,Rychnov nad Kněžnou,CZ0524
8120,Rýmařov,CZ0801
8020,Rýmařov,CZ0801
2123,Sedlčany,CZ020B
2023,Sedlčany,CZ020B
5107,Semily,CZ0514
2124,Slaný,CZ0203
2024,Slaný,CZ0203
6216,Šlapanice,CZ0643
6416,Šlapanice,CZ0643
6215,Slavkov u Brna,CZ0646
6415,Slavkov u Brna,CZ0646
3110,Soběslav,CZ0317
4107,Sokolov,CZ0413
7110,Šternberk,CZ0712
3212,Stod,CZ0324
3111,Strakonice,CZ0316
3213,Stříbro,CZ0327
7111,Šumperk,CZ0715
3214,Sušice,CZ0322
6111,Světlá nad Sázavou,CZ0631
6311,Světlá nad Sázavou,CZ0631
5312,Svitavy,CZ0533
3112,Tábor,CZ0317
3215,Tachov,CZ0327
5108,Tanvald,CZ0512
6112,Telč,CZ0632
6312,Telč,CZ0632
4213,Teplice,CZ0426
6217,Tišnov,CZ0643
6417,Tišnov,CZ0643
6113,Třebíč,CZ0634
6313,Třebíč,CZ0634
3114,Třeboň,CZ0313
3113,Trhové Sviny,CZ0311
8121,Třinec,CZ0802
8021,Třinec,CZ0802
5214,Trutnov,CZ0525
5109,Turnov,CZ0514
3115,Týn nad Vltavou,CZ0311
7207,Uherské Hradiště,CZ0722
7208,Uherský Brod,CZ0722
7112,Uničov,CZ0712
4214,Ústí nad Labem,CZ0427
5313,Ústí nad Orlicí,CZ0534
7209,Valašské Klobouky,CZ0724
7210,Valašské Meziříčí,CZ0723
4215,Varnsdorf,CZ0421
6114,Velké Meziříčí,CZ0635
6314,Velké Meziříčí,CZ0635
6218,Veselí nad Moravou,CZ0645
6418,Veselí nad Moravou,CZ0645
3116,Vimperk,CZ0315
8022,Vitkov,CZ0805
8122,Vítkov,CZ0805
7211,Vizovice,CZ0724
2125,Vlašim,CZ0201
2025,Vlašim,CZ0201
3117,Vodňany,CZ0316
2126,Votice,CZ0201
2026,Votice,CZ0201
5215,Vrchlabí,CZ0525
7212,Vsetín,CZ0723
6219,Vyškov,CZ0646
6419,Vyškov,CZ0646
5314,Vysoké Mýto,CZ0534
7113,Zábřeh,CZ0715
5315,Žamberk,CZ0534
4216,Žatec,CZ0424
6115,Žďár nad Sázavou,CZ0635
6315,Žďár nad Sázavou,CZ0635
5110,Železný Brod,CZ0512
6221,Židlochovice,CZ0643
6421,Židlochovice,CZ0643
7213,Zlín,CZ0724
6220,Znojmo,CZ0647
6420,Znojmo,CZ0647
6413,Pohořelice,CZ0643
8016,Odry,CZ0804
